Status,Est.Cal.YrBP,CoreID
L_S,469.5,PC012
L_S,1338,PC012
L_S,1840.5,PC012
L_S,3064.5,PC012
L_S,4287,PC012
L_S,4929.5,PC012
L_S,5887.5,PC012
L_S,6914,PC012
L_S,7921.5,PC012
L_S,8328,PC012
L_S,8732,PC012
L_S,9612.5,PC012
L_S,10156,PC012
L_S,10648.5,PC012
L_S,11111.5,PC012
L_S,11672.5,PC012
L_S,795,PC014
L_S,2619,PC014
L_S,6346,PC014
L_S,7927,PC014
_S,8600,PC014
_S,8467,PC014
L_S,8855,PC014
_S,9259,PC014
_S,9863,PC014
_S,10286,PC014
L_S,10316,PC014
_S,10682,PC014
_S,10796,PC014
_S,10920,PC014
L_S,664,GC017
L_S,1704,GC017
L_S,2175,GC017
L_S,2881,GC017
L_S,4447,GC017
L_S,6282,GC017
_S,7331,GC017
L_S,7672,GC017
_S,7907,GC017
L_S,8629,GC017
_S,9423,GC017
_S,10140,GC017
_S,10497,GC017
_S,10816,GC017
L_S,11102,GC017
_S,11102,GC017
_,732,GC017
L_,841,GC017
_,960,GC017
L_,1118,GC017
_,1191,GC017
_,1300,GC017
L_,1498,GC017
L_,1770,GC017
L_,1939,GC017
_,2406,GC017
L_,2652,GC017
L_,3274,GC017
_,3577,GC017
_,3923,GC017
_,4803,GC017
L_,5256,GC017
L_,5747,GC017
_,6500,GC017
_,8225,GC017
_,9016,GC017
_,664.5,PC012
L_,937,PC012
_,1170.5,PC012
L_,1608,PC012
_,2106.5,PC012
L_,2319.5,PC012
_,2745.5,PC012
_,3497,PC012
L_,3722.5,PC012
_,4061,PC012
_,4616.5,PC012
_,5347.5,PC012
_,6219.5,PC012
_,6550.5,PC012
_,7545,PC012
_,9211,PC012
L_,989,PC014
L_,1303,PC014
_,1617,PC014
L_,1977,PC014
_,2322,PC014
_,2970,PC014
L_,3198,PC014
_,3543,PC014
_,3740,PC014
L_,4134,PC014
_,4557,PC014
L_,5217,PC014
_,5689,PC014
_,6065,PC014
_,6956,PC014
_,7401,PC014
L_,7717,PC014
_,0,PC012
_,0,PC014
_,0,GC017